file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,166,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,26
style.css,167,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,168,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,8
style.css,169,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,49
style.css,170,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,50
style.css,171,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,81
style.css,172,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,62
style.css,173,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,85
style.css,174,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,71
style.css,175,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,65
style.css,176,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,177,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,21
style.css,178,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,30
style.css,179,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,180,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,8
style.css,181,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,7
style.css,182,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,13
style.css,183,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,58
style.css,184,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,64
style.css,185,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,16
style.css,186,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,12
style.css,187,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,9
style.css,188,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,37
style.css,189,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,190,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,22
